country_name	start_time	number_tweets_hour
United Kingdom	15	5
	13	1
Bolivia	16	103
India	13	1
Jamaica	23	247
New Zealand	02	1
Brasil	13	37263
Uruguay	14	1480
British Virgin Islands	15	7
Dominican Republic	14	949
Antigua and Barbuda	08	46
Puerto Rico	14	383
Saint-Barthlemy	03	6
Rossiya	12	1
Suriname	10	17
Martinique	13	224
Honduras	00	149
Montserrat	10	3
Bahamas	15	68
Trinidad and Tobago	10	97
Bermuda	10	20
Italia	12	1
Nicaragua	21	214
Nederland	13	11
Panama	15	483
Chile	13	3235
Mxico	23	8792
Belize	18	49
Rpublique Dmocratique Du Congo	07	1
United States	15	81969
Sint Maarten	22	8
Aruba	16	33
Costa Rica	15	901
Ireland	13	3
Turks and Caicos Islands	14	12
French Polynesia	22	8
Saint-Martin	22	8
Argentina	00	13257
sterreich	01	1
Dominica	13	9
Guyana	10	7
Norge	03	1
Saint Lucia	15	24
Anguilla	16	6
Belgi	22	1
Cook Islands	20	4
Nigeria	01	1
Saint Vincent and the Grenadines	17	35
Guatemala	00	493
Grenada	16	19
Curaao	14	19
Cayman Islands	18	18
Falkland Islands (Malvinas)	03	3
Barbados	09	53
Haiti	14	65
Deutschland	22	1
Peru	15	1008
Canada	15	3572
Espaa	16	2
Cuba	11	53
El Salvador	13	157
Saint Kitts and Nevis	04	25
Guyane Franaise	12	7
Paraguay	11	1611
Guadeloupe	23	32
Colombia	20	3088
Venezuela	14	2099
Portugal	09	9
Ecuador	19	871
France	11	1
